1	0	0	-538.26
1	0	1	-538.13
1	1	0	-538.38
1	1	1	-538.91
1	2	0	-540.23
1	2	1	-540.02
1	3	0	-540.22
1	3	1	-538.4
1	4	0	-537.4
1	4	1	-536.4
1	5	0	-537.13
1	5	1	-539.07
1	6	0	-541.23
1	6	1	-540.32
1	7	0	-586.21
1	7	1	-584.66
1	8	0	-584.11
1	8	1	-586.55
1	9	0	-587.47
1	9	1	-588.19
1	10	0	-588.43
1	10	1	-588.02
1	11	0	-588.45
1	11	1	-589.42
1	12	0	-591.42
1	12	1	-592.52
1	13	0	-593.02
1	13	1	-593.02
1	14	0	-594.55
1	14	1	-611.81
1	15	0	-625.72
1	15	1	-626.83
1	16	0	-626.04
1	16	1	-626.8
1	17	0	-614.91
1	17	1	-614.17
1	18	0	-612.75
1	18	1	-611.69
1	19	0	-610.57
1	19	1	-611.5
1	20	0	-611.87
1	20	1	-612.07
1	21	0	-614.76
1	21	1	-612.94
1	22	0	-624.27
1	22	1	-622.25
1	23	0	-624.96
1	23	1	-627.87
2	0	0	13.09
2	0	1	12.93
2	1	0	13
2	1	1	12.77
2	2	0	12.76
2	2	1	12.75
2	3	0	12.94
2	3	1	13.02
2	4	0	12.84
2	4	1	12.75
2	5	0	12.9
2	5	1	12.81
2	6	0	12.94
2	6	1	12.83
2	7	0	44.48
2	7	1	44.5
2	8	0	45.19
2	8	1	45.61
2	9	0	45.35
2	9	1	45.81
2	10	0	45.08
2	10	1	45.32
2	11	0	45.3
2	11	1	45.4
2	12	0	44.61
2	12	1	44.39
2	13	0	45.49
2	13	1	45.91
2	14	0	45.26
2	14	1	45.45
2	15	0	45.19
2	15	1	44.86
2	16	0	45.59
2	16	1	45.81
2	17	0	38.16
2	17	1	36.99
2	18	0	37.06
2	18	1	36.51
2	19	0	37.14
2	19	1	36.71
2	20	0	36.66
2	20	1	36.86
2	21	0	38.75
2	21	1	39.08
2	22	0	46.28
2	22	1	46.41
2	23	0	46.57
2	23	1	46.68
3	0	0	-0.94
3	0	1	-0.82
3	1	0	-0.82
3	1	1	-0.87
3	2	0	-0.71
3	2	1	-0.95
3	3	0	-0.86
3	3	1	-0.65
3	4	0	-0.83
3	4	1	-0.62
3	5	0	-0.75
3	5	1	-0.65
3	6	0	-0.59
3	6	1	-0.59
3	7	0	-0.73
3	7	1	-0.53
3	8	0	-0.32
3	8	1	-0.87
3	9	0	-0.63
3	9	1	-0.91
3	10	0	-0.69
3	10	1	-0.72
3	11	0	-0.57
3	11	1	-0.53
3	12	0	-0.88
3	12	1	-0.7
3	13	0	-0.58
3	13	1	-0.48
3	14	0	-1.02
3	14	1	-0.78
3	15	0	-0.57
3	15	1	-0.74
3	16	0	-0.52
3	16	1	-0.24
3	17	0	1.09
3	17	1	0.92
3	18	0	0.93
3	18	1	0.97
3	19	0	0.98
3	19	1	0.95
3	20	0	1.03
3	20	1	1.02
3	21	0	1.43
3	21	1	1
3	22	0	-0.79
3	22	1	-0.6
3	23	0	-0.92
3	23	1	-0.57
4	0	0	22.18
4	0	1	22.09
4	1	0	22.18
4	1	1	22.18
4	2	0	22.18
4	2	1	22.1
4	3	0	22.26
4	3	1	22.23
4	4	0	22.17
4	4	1	22.21
4	5	0	22.22
4	5	1	22.23
4	6	0	22.11
4	6	1	22.25
4	7	0	24.88
4	7	1	24.97
4	8	0	24.92
4	8	1	24.84
4	9	0	24.78
4	9	1	24.72
4	10	0	24.88
4	10	1	24.82
4	11	0	24.78
4	11	1	24.78
4	12	0	24.73
4	12	1	24.94
4	13	0	24.8
4	13	1	24.87
4	14	0	24.82
4	14	1	24.76
4	15	0	24.71
4	15	1	24.65
4	16	0	24.66
4	16	1	24.67
4	17	0	26.24
4	17	1	26.29
4	18	0	26.23
4	18	1	26.16
4	19	0	26.28
4	19	1	26.22
4	20	0	26.15
4	20	1	26.18
4	21	0	26.33
4	21	1	26.36
4	22	0	24.83
4	22	1	24.73
4	23	0	24.8
4	23	1	24.83
